chromosome	bin_start	bin_end	n_reads
chr1	72000000	73000000	3035
chr1	73000000	74000000	2960
chr1	74000000	75000000	3356
chr1	75000000	76000000	3279
chr1	76000000	77000000	3311
chr1	77000000	78000000	3410
chr1	78000000	79000000	3216
chr1	79000000	80000000	3076
chr1	80000000	81000000	3136
chr1	81000000	82000000	3074
chr1	82000000	83000000	3234
chr1	83000000	84000000	4459
chr1	84000000	85000000	3244
chr1	85000000	86000000	3472
chr1	86000000	87000000	3399
chr1	87000000	88000000	3288
chr1	88000000	89000000	3411
chr1	89000000	90000000	3389
chr1	90000000	91000000	3276
chr1	91000000	92000000	3440
chr1	92000000	93000000	3283
chr1	93000000	94000000	3338
chr1	94000000	95000000	3450
chr1	95000000	96000000	3256
chr1	96000000	97000000	3191
chr1	97000000	98000000	3187
chr1	98000000	99000000	3145
chr1	99000000	100000000	3216
chr1	100000000	101000000	3282
chr1	101000000	102000000	3148
chr1	102000000	103000000	3030
chr1	103000000	104000000	4193
chr1	104000000	105000000	3190
chr1	105000000	106000000	2863
chr1	106000000	107000000	3091
chr1	107000000	108000000	3323
chr1	108000000	109000000	4048
chr1	109000000	110000000	3390
chr1	110000000	111000000	3441
chr1	111000000	112000000	3294
chr1	112000000	113000000	3486
chr1	113000000	114000000	3387
chr1	114000000	115000000	3296
chr1	115000000	116000000	3394
chr1	116000000	117000000	3619
chr1	117000000	118000000	3454
chr1	118000000	119000000	3350
chr1	119000000	120000000	3495
chr1	120000000	121000000	14040
chr1	121000000	122000000	10184
chr1	122000000	123000000	6387
chr1	123000000	124000000	8755
chr1	124000000	125000000	8076
chr1	125000000	126000000	7970
chr1	126000000	127000000	14372
chr1	127000000	128000000	9265
chr1	128000000	129000000	5941
chr1	129000000	130000000	7252
chr1	130000000	131000000	2757
chr1	131000000	132000000	3264
chr1	132000000	133000000	3998
chr1	133000000	134000000	4465
chr1	134000000	135000000	4979
chr1	135000000	136000000	3596
chr1	136000000	137000000	5341
chr1	137000000	138000000	6118
chr1	138000000	139000000	7295
chr1	139000000	140000000	5205
chr1	140000000	141000000	3764
chr1	141000000	142000000	3242
chr1	142000000	143000000	11328
chr1	143000000	144000000	17379
chr1	144000000	145000000	12078
chr1	145000000	146000000	12184
chr1	146000000	147000000	10825
chr1	147000000	148000000	5607
chr1	148000000	149000000	13141
chr1	149000000	150000000	4293
chr1	150000000	151000000	4448
chr1	151000000	152000000	4488
chr1	152000000	153000000	4315
chr1	153000000	154000000	4417
chr1	154000000	155000000	4706
chr1	155000000	156000000	4546
chr1	156000000	157000000	4293
chr1	157000000	158000000	4030
chr1	158000000	159000000	4146
chr1	159000000	160000000	4440
chr1	160000000	161000000	7779
chr1	161000000	162000000	4375
chr1	162000000	163000000	4180
chr1	163000000	164000000	3987
chr1	164000000	165000000	4406
chr1	165000000	166000000	4208
chr1	166000000	167000000	4229
chr1	167000000	168000000	4304
chr1	168000000	169000000	4068
chr1	169000000	170000000	4172
chr1	170000000	171000000	4109
chr1	171000000	172000000	4187
chr1	172000000	173000000	4152
chr1	173000000	174000000	4133
chr1	174000000	175000000	4262
chr1	175000000	176000000	4219
chr1	176000000	177000000	4149
chr1	177000000	178000000	4216
chr1	178000000	179000000	4441
chr1	179000000	180000000	4323
chr1	180000000	181000000	4329
chr1	181000000	182000000	4232
chr1	182000000	183000000	4388
chr1	183000000	184000000	4223
chr1	184000000	185000000	4124
chr1	185000000	186000000	4090
chr1	186000000	187000000	4109
chr1	187000000	188000000	3730
chr1	188000000	189000000	3610
chr1	189000000	190000000	3649
chr1	190000000	191000000	3634
chr1	191000000	192000000	3926
chr1	192000000	193000000	3999
chr1	193000000	194000000	3717
chr1	194000000	195000000	3654
chr1	195000000	196000000	3930
chr1	196000000	197000000	4389
chr1	197000000	198000000	3979
chr1	198000000	199000000	3927
chr1	199000000	200000000	4135
chr1	200000000	201000000	4432
chr1	201000000	202000000	4423
chr1	202000000	203000000	4368
chr1	203000000	204000000	4367
chr1	204000000	205000000	4424
chr1	205000000	206000000	6615
chr1	206000000	207000000	4315
chr1	207000000	208000000	4264
chr1	208000000	209000000	4194
chr1	209000000	210000000	4282
chr1	210000000	211000000	4143
chr1	211000000	212000000	4273
chr1	212000000	213000000	4240
chr1	213000000	214000000	4117
chr1	214000000	215000000	4072
chr1	215000000	216000000	3824
chr1	216000000	217000000	3992
chr1	217000000	218000000	4050
chr1	218000000	219000000	4146
chr1	219000000	220000000	4358
chr1	220000000	221000000	4067
chr1	221000000	222000000	4656
chr1	222000000	223000000	4363
chr1	223000000	224000000	5757
chr1	224000000	225000000	4070
chr1	225000000	226000000	4362
chr1	226000000	227000000	4065
chr1	227000000	228000000	6310
chr1	228000000	229000000	4911
chr1	229000000	230000000	4163
chr1	230000000	231000000	4333
chr1	231000000	232000000	4169
chr1	232000000	233000000	4131
chr1	233000000	234000000	4169
chr1	234000000	235000000	4581
chr1	235000000	236000000	4528
chr1	236000000	237000000	4196
chr1	237000000	238000000	3909
chr1	238000000	239000000	3814
chr1	239000000	240000000	4278
chr1	240000000	241000000	3910
chr1	241000000	242000000	4317
chr1	242000000	243000000	5724
chr1	243000000	244000000	4185
chr1	244000000	245000000	4275
chr1	245000000	246000000	4203
chr1	246000000	247000000	4546
chr1	247000000	248000000	4437
chr1	248000000	248387328	1766
chr2	0	1000000	3333
chr2	1000000	2000000	3445
chr2	2000000	3000000	3240
chr2	3000000	4000000	3409
chr2	4000000	5000000	3125
chr2	5000000	6000000	3463
chr2	6000000	7000000	3263
chr2	7000000	8000000	3264
chr2	8000000	9000000	3396
chr2	9000000	10000000	3485
chr2	10000000	11000000	3508
chr2	11000000	12000000	3468
chr2	12000000	13000000	3438
chr2	13000000	14000000	3015
chr2	14000000	15000000	3179
chr2	15000000	16000000	3412
chr2	16000000	17000000	3259
chr2	17000000	18000000	3282
chr2	18000000	19000000	3260
chr2	19000000	20000000	3219
chr2	20000000	21000000	3411
chr2	21000000	22000000	3227
chr2	22000000	23000000	3060
chr2	23000000	24000000	3485
chr2	24000000	25000000	3477
chr2	25000000	26000000	3534
chr2	26000000	27000000	3462
chr2	27000000	28000000	3523
chr2	28000000	29000000	3403
chr2	29000000	30000000	3457
chr2	30000000	31000000	3394
chr2	31000000	32000000	3322
chr2	32000000	33000000	3458
chr2	33000000	34000000	3404
chr2	34000000	35000000	3160
chr2	35000000	36000000	3041
chr2	36000000	37000000	3489
chr2	37000000	38000000	3406
chr2	38000000	39000000	3450
chr2	39000000	40000000	3348
chr2	40000000	41000000	3118
chr2	41000000	42000000	3238
chr2	42000000	43000000	3516
chr2	43000000	44000000	3367
chr2	44000000	45000000	3242
chr2	45000000	46000000	3516
chr2	46000000	47000000	3385
chr2	47000000	48000000	3442
chr2	48000000	49000000	3418
chr2	49000000	50000000	3378
chr2	50000000	51000000	3249
chr2	51000000	52000000	3079
chr2	52000000	53000000	3133
chr2	53000000	54000000	3241
chr2	54000000	55000000	3478
chr2	55000000	56000000	3444
chr2	56000000	57000000	3172
chr2	57000000	58000000	3139
chr2	58000000	59000000	3240
chr2	59000000	60000000	3023
chr2	60000000	61000000	3616
chr2	61000000	62000000	3474
chr2	62000000	63000000	3354
chr2	63000000	64000000	3376
chr2	64000000	65000000	3405
chr2	65000000	66000000	3426
chr2	66000000	67000000	3229
chr2	67000000	68000000	3279
chr2	68000000	69000000	3378
chr2	69000000	70000000	3413
chr2	70000000	71000000	3571
chr2	71000000	72000000	3437
chr2	72000000	73000000	3226
chr2	73000000	74000000	3885
chr2	74000000	75000000	3487
chr2	75000000	76000000	3290
chr2	76000000	77000000	3142
chr2	77000000	78000000	3073
chr2	78000000	79000000	3056
chr2	79000000	80000000	3252
chr2	80000000	81000000	3144
chr2	81000000	82000000	2950
chr2	82000000	83000000	2964
chr2	83000000	84000000	3157
chr2	84000000	85000000	3370
chr2	85000000	86000000	3495
chr2	86000000	87000000	4645
chr2	87000000	88000000	8657
chr2	88000000	89000000	3364
chr2	89000000	90000000	11252
chr2	90000000	91000000	10679
chr2	91000000	92000000	13305
chr2	92000000	93000000	14490
chr2	93000000	94000000	13025
chr2	94000000	95000000	11079
chr2	95000000	96000000	5580
chr2	96000000	97000000	4999
chr2	97000000	98000000	5217
chr2	98000000	99000000	3828
chr2	99000000	100000000	3443
chr2	100000000	101000000	3527
chr2	101000000	102000000	3401
chr2	102000000	103000000	3333
chr2	103000000	104000000	3312
chr2	104000000	105000000	3014
chr2	105000000	106000000	3528
chr2	106000000	107000000	4806
chr2	107000000	108000000	3181
chr2	108000000	109000000	4388
chr2	109000000	110000000	3857
chr2	110000000	111000000	7545
chr2	111000000	112000000	4688
chr2	112000000	113000000	5420
chr2	113000000	114000000	5359
chr2	114000000	115000000	3926
chr2	115000000	116000000	3106
chr2	116000000	117000000	2948
chr2	117000000	118000000	3038
chr2	118000000	119000000	3428
chr2	119000000	120000000	3375
chr2	120000000	121000000	3498
chr2	121000000	122000000	3541
chr2	122000000	123000000	3415
chr2	123000000	124000000	2929
chr2	124000000	125000000	3208
chr2	125000000	126000000	3045
chr2	126000000	127000000	2993
chr2	127000000	128000000	3463
chr2	128000000	129000000	3561
chr2	129000000	130000000	3325
chr2	130000000	131000000	5437
chr2	131000000	132000000	5606
chr2	132000000	133000000	5465
chr2	133000000	134000000	3178
chr2	134000000	135000000	3406
chr2	135000000	136000000	3492
chr2	136000000	137000000	3362
chr2	137000000	138000000	3183
chr2	138000000	139000000	3218
chr2	139000000	140000000	3197
chr2	140000000	141000000	3018
chr2	141000000	142000000	3001
chr2	142000000	143000000	3190
chr2	143000000	144000000	3495
chr2	144000000	145000000	3438
chr2	145000000	146000000	3207
chr2	146000000	147000000	3066
chr2	147000000	148000000	3270
chr2	148000000	149000000	3287
chr2	149000000	150000000	3325
chr2	150000000	151000000	3242
chr2	151000000	152000000	3342
chr2	152000000	153000000	3511
chr2	153000000	154000000	3359
chr2	154000000	155000000	3114
chr2	155000000	156000000	3051
chr2	156000000	157000000	3102
chr2	157000000	158000000	3315
chr2	158000000	159000000	3336
chr2	159000000	160000000	3392
chr2	160000000	161000000	3299
chr2	161000000	162000000	3246
chr2	162000000	163000000	3266
chr2	163000000	164000000	3134
chr2	164000000	165000000	3231
chr2	165000000	166000000	3277
chr2	166000000	167000000	3156
chr2	167000000	168000000	3099
chr2	168000000	169000000	3338
chr2	169000000	170000000	3527
chr2	170000000	171000000	3245
chr2	171000000	172000000	3484
chr2	172000000	173000000	3529
chr2	173000000	174000000	3394
chr2	174000000	175000000	3346
chr2	175000000	176000000	3530
chr2	176000000	177000000	3320
chr2	177000000	178000000	3345
chr2	178000000	179000000	3559
chr2	179000000	180000000	3350
chr2	180000000	181000000	3101
chr2	181000000	182000000	3332
chr2	182000000	183000000	3277
chr2	183000000	184000000	3266
chr2	184000000	185000000	3098
chr2	185000000	186000000	2881
chr2	186000000	187000000	3146
chr2	187000000	188000000	3179
chr2	188000000	189000000	3062
chr2	189000000	190000000	3140
chr2	190000000	191000000	3340
chr2	191000000	192000000	3355
chr2	192000000	193000000	3185
chr2	193000000	194000000	2884
chr2	194000000	195000000	2836
chr2	195000000	196000000	3096
chr2	196000000	197000000	3301
chr2	197000000	198000000	3354
chr2	198000000	199000000	3406
chr2	199000000	200000000	3167
chr2	200000000	201000000	3445
chr2	201000000	202000000	3405
chr2	202000000	203000000	3326
chr2	203000000	204000000	3367
chr2	204000000	205000000	3358
chr2	205000000	206000000	3117
chr2	206000000	207000000	3443
chr2	207000000	208000000	3323
chr2	208000000	209000000	3324
chr2	209000000	210000000	3146
chr2	210000000	211000000	3266
chr2	211000000	212000000	3120
chr2	212000000	213000000	3128
chr2	213000000	214000000	3112
chr2	214000000	215000000	3101
chr2	215000000	216000000	3192
chr2	216000000	217000000	3444
chr2	217000000	218000000	3359
chr2	218000000	219000000	3513
chr2	219000000	220000000	3571
chr2	220000000	221000000	3463
chr2	221000000	222000000	3104
chr2	222000000	223000000	3359
chr2	223000000	224000000	3373
chr2	224000000	225000000	3407
chr2	225000000	226000000	3384
chr2	226000000	227000000	3156
chr2	227000000	228000000	3392
chr2	228000000	229000000	3279
chr2	229000000	230000000	3301
chr2	230000000	231000000	3398
chr2	231000000	232000000	3599
chr2	232000000	233000000	3713
chr2	233000000	234000000	3427
chr2	234000000	235000000	3450
chr2	235000000	236000000	3282
chr2	236000000	237000000	3441
chr2	237000000	238000000	3404
chr2	238000000	239000000	3492
chr2	239000000	240000000	3337
chr2	240000000	241000000	3355
chr2	241000000	242000000	3576
chr2	242000000	242696752	3689
chr3	0	1000000	3624
chr3	1000000	2000000	2905
chr3	2000000	3000000	3056
chr3	3000000	4000000	3257
chr3	4000000	5000000	3485
chr3	5000000	6000000	3362
chr3	6000000	7000000	3036
chr3	7000000	8000000	3095
chr3	8000000	9000000	3412
chr3	9000000	10000000	3572
chr3	10000000	11000000	3384
chr3	11000000	12000000	3453
chr3	12000000	13000000	3571
chr3	13000000	14000000	3440
chr3	14000000	15000000	3451
chr3	15000000	16000000	3529
chr3	16000000	17000000	3382
chr3	17000000	18000000	3237
chr3	18000000	19000000	3171
chr3	19000000	20000000	3199
chr3	20000000	21000000	3234
chr3	21000000	22000000	3112
chr3	22000000	23000000	3174
chr3	23000000	24000000	3383
chr3	24000000	25000000	3267
chr3	25000000	26000000	3252
chr3	26000000	27000000	3439
chr3	27000000	28000000	3320
chr3	28000000	29000000	3141
chr3	29000000	30000000	3122
chr3	30000000	31000000	3208
chr3	31000000	32000000	3274
chr3	32000000	33000000	3494
chr3	33000000	34000000	3260
chr3	34000000	35000000	3201
chr3	35000000	36000000	3041
chr3	36000000	37000000	3293
chr3	37000000	38000000	3465
chr3	38000000	39000000	3445
chr3	39000000	40000000	3212
chr3	40000000	41000000	3288
chr3	41000000	42000000	3329
chr3	42000000	43000000	3405
chr3	43000000	44000000	3304
chr3	44000000	45000000	3276
chr3	45000000	46000000	3382
chr3	46000000	47000000	3425
chr3	47000000	48000000	3591
chr3	48000000	49000000	3622
chr3	49000000	50000000	3401
chr3	50000000	51000000	3528
chr3	51000000	52000000	3416
chr3	52000000	53000000	3564
chr3	53000000	54000000	3541
chr3	54000000	55000000	3258
chr3	55000000	56000000	3363
chr3	56000000	57000000	3494
chr3	57000000	58000000	3445
chr3	58000000	59000000	3533
chr3	59000000	60000000	3392
chr3	60000000	61000000	3116
chr3	61000000	62000000	3276
chr3	62000000	63000000	3277
chr3	63000000	64000000	3311
chr3	64000000	65000000	3278
chr3	65000000	66000000	3271
chr3	66000000	67000000	3461
chr3	67000000	68000000	3153
chr3	68000000	69000000	3235
chr3	69000000	70000000	3459
chr3	70000000	71000000	3284
chr3	71000000	72000000	3486
chr3	72000000	73000000	3380
chr3	73000000	74000000	3362
chr3	74000000	75000000	3190
chr3	75000000	76000000	3715
chr3	76000000	77000000	3092
chr3	77000000	78000000	3245
chr3	78000000	79000000	3270
chr3	79000000	80000000	3105
chr3	80000000	81000000	3079
chr3	81000000	82000000	3252
chr3	82000000	83000000	3111
chr3	83000000	84000000	2852
chr3	84000000	85000000	2939
chr3	85000000	86000000	3160
chr3	86000000	87000000	3082
chr3	87000000	88000000	3221
chr3	88000000	89000000	3155
chr3	89000000	90000000	3278
chr3	90000000	91000000	4909
chr3	91000000	92000000	13235
chr3	92000000	93000000	21690
chr3	93000000	94000000	216
chr3	94000000	95000000	603
chr3	95000000	96000000	19020
chr3	96000000	97000000	9699
chr3	97000000	98000000	3033
chr3	98000000	99000000	2949
chr3	99000000	100000000	3074
chr3	100000000	101000000	3305
chr3	101000000	102000000	3225
chr3	102000000	103000000	3287
chr3	103000000	104000000	3313
chr3	104000000	105000000	3477
chr3	105000000	106000000	3184
chr3	106000000	107000000	2955
chr3	107000000	108000000	3027
chr3	108000000	109000000	3214
chr3	109000000	110000000	3103
chr3	110000000	111000000	3291
chr3	111000000	112000000	3559
chr3	112000000	113000000	3091
chr3	113000000	114000000	3183
chr3	114000000	115000000	3335
chr3	115000000	116000000	3632
chr3	116000000	117000000	3361
chr3	117000000	118000000	3196
chr3	118000000	119000000	3312
chr3	119000000	120000000	3226
chr3	120000000	121000000	3044
chr3	121000000	122000000	3328
chr3	122000000	123000000	3396
chr3	123000000	124000000	3280
chr3	124000000	125000000	3319
chr3	125000000	126000000	3331
chr3	126000000	127000000	3477
chr3	127000000	128000000	3449
chr3	128000000	129000000	3718
chr3	129000000	130000000	3444
chr3	130000000	131000000	3400
chr3	131000000	132000000	3598
chr3	132000000	133000000	4050
chr3	133000000	134000000	3338
chr3	134000000	135000000	3281
chr3	135000000	136000000	3338
chr3	136000000	137000000	3257
chr3	137000000	138000000	3367
chr3	138000000	139000000	3366
chr3	139000000	140000000	3089
chr3	140000000	141000000	3333
chr3	141000000	142000000	3333
chr3	142000000	143000000	3364
chr3	143000000	144000000	3338
chr3	144000000	145000000	3498
chr3	145000000	146000000	3252
chr3	146000000	147000000	3370
chr3	147000000	148000000	3001
chr3	148000000	149000000	3055
chr3	149000000	150000000	3250
chr3	150000000	151000000	3097
chr3	151000000	152000000	3201
chr3	152000000	153000000	3414
chr3	153000000	154000000	3301
chr3	154000000	155000000	3306
chr3	155000000	156000000	3238
chr3	156000000	157000000	3150
chr3	157000000	158000000	3277
chr3	158000000	159000000	3427
chr3	159000000	160000000	3346
chr3	160000000	161000000	3378
chr3	161000000	162000000	3410
chr3	162000000	163000000	3313
chr3	163000000	164000000	3304
chr3	164000000	165000000	3216
chr3	165000000	166000000	2594
chr3	166000000	167000000	2981
chr3	167000000	168000000	3046
chr3	168000000	169000000	3050
chr3	169000000	170000000	3056
chr3	170000000	171000000	3093
chr3	171000000	172000000	3306
chr3	172000000	173000000	3601
chr3	173000000	174000000	3342
chr3	174000000	175000000	3359
chr3	175000000	176000000	3348
chr3	176000000	177000000	2935
chr3	177000000	178000000	3020
chr3	178000000	179000000	3058
chr3	179000000	180000000	3164
chr3	180000000	181000000	3278
chr3	181000000	182000000	3139
chr3	182000000	183000000	3331
chr3	183000000	184000000	3245
chr3	184000000	185000000	3309
chr3	185000000	186000000	3306
chr3	186000000	187000000	3433
chr3	187000000	188000000	3504
chr3	188000000	189000000	3744
chr3	189000000	190000000	3617
chr3	190000000	191000000	3405
chr3	191000000	192000000	3198
chr3	192000000	193000000	3281
chr3	193000000	194000000	3182
chr3	194000000	195000000	3301
chr3	195000000	196000000	3323
chr3	196000000	197000000	3447
chr3	197000000	198000000	3520
chr3	198000000	199000000	5454
chr3	199000000	200000000	3591
chr3	200000000	201000000	6825
chr3	201000000	201105948	1669
chr4	0	1000000	5722
chr4	1000000	2000000	5310
chr4	2000000	3000000	5249
chr4	3000000	4000000	5667
chr4	4000000	5000000	5415
chr4	5000000	6000000	4854
chr4	6000000	7000000	5308
chr4	7000000	8000000	5166
chr4	8000000	9000000	5490
chr4	9000000	10000000	13674
chr4	10000000	11000000	4974
chr4	11000000	12000000	4751
chr4	12000000	13000000	4656
chr4	13000000	14000000	4796
chr4	14000000	15000000	4781
chr4	15000000	16000000	4985
chr4	16000000	17000000	4854
chr4	17000000	18000000	4932
chr4	18000000	19000000	4780
chr4	19000000	20000000	4669
chr4	20000000	21000000	4897
chr4	21000000	22000000	4995
chr4	22000000	23000000	4937
chr4	23000000	24000000	4676
chr4	24000000	25000000	5067
chr4	25000000	26000000	5064
chr4	26000000	27000000	4984
chr4	27000000	28000000	4820
chr4	28000000	29000000	4336
chr4	29000000	30000000	4375
chr4	30000000	31000000	4629
chr4	31000000	32000000	4538
chr4	32000000	33000000	4376
chr4	33000000	34000000	4427
chr4	34000000	35000000	4324
chr4	35000000	36000000	4584
chr4	36000000	37000000	4847
chr4	37000000	38000000	4972
chr4	38000000	39000000	4953
chr4	39000000	40000000	5150
chr4	40000000	41000000	5258
chr4	41000000	42000000	5083
chr4	42000000	43000000	4907
chr4	43000000	44000000	4572
chr4	44000000	45000000	4809
chr4	45000000	46000000	4462
chr4	46000000	47000000	4544
chr4	47000000	48000000	4975
chr4	48000000	49000000	5021
chr4	49000000	50000000	13327
chr4	50000000	51000000	8623
chr4	51000000	52000000	2352
chr4	52000000	53000000	2756
chr4	53000000	54000000	2437
chr4	54000000	55000000	8863
chr4	55000000	56000000	20469
chr4	56000000	57000000	5146
chr4	57000000	58000000	5015
chr4	58000000	59000000	4865
chr4	59000000	60000000	5095
chr4	60000000	61000000	5233
chr4	61000000	62000000	4829
chr4	62000000	63000000	4364
chr4	63000000	64000000	4338
chr4	64000000	65000000	4726
chr4	65000000	66000000	4557
chr4	66000000	67000000	4454
chr4	67000000	68000000	4315
chr4	68000000	69000000	4761
chr4	69000000	70000000	4557
chr4	70000000	71000000	4937
chr4	71000000	72000000	4645
chr4	72000000	73000000	4784
chr4	73000000	74000000	4784
chr4	74000000	75000000	4951
chr4	75000000	76000000	4601
chr4	76000000	77000000	4730
chr4	77000000	78000000	4812
chr4	78000000	79000000	4976
chr4	79000000	80000000	5031
chr4	80000000	81000000	5122
chr4	81000000	82000000	4952
chr4	82000000	83000000	4931
chr4	83000000	84000000	4823
chr4	84000000	85000000	4796
chr4	85000000	86000000	4965
chr4	86000000	87000000	5187
chr4	87000000	88000000	4828
chr4	88000000	89000000	4887
chr4	89000000	90000000	5055
chr4	90000000	91000000	5095
chr4	91000000	92000000	4931
chr4	92000000	93000000	4880
chr4	93000000	94000000	4596
chr4	94000000	95000000	4603
chr4	95000000	96000000	4586
chr4	96000000	97000000	4556
chr4	97000000	98000000	5115
chr4	98000000	99000000	4901
chr4	99000000	100000000	4598
chr4	100000000	101000000	4587
chr4	101000000	102000000	4768
chr4	102000000	103000000	4863
chr4	103000000	104000000	4772
chr4	104000000	105000000	4834
chr4	105000000	106000000	4912
chr4	106000000	107000000	5149
chr4	107000000	108000000	4606
chr4	108000000	109000000	4884
chr4	109000000	110000000	4821
chr4	110000000	111000000	4725
chr4	111000000	112000000	5113
chr4	112000000	113000000	4935
chr4	113000000	114000000	4920
chr4	114000000	115000000	4688
chr4	115000000	116000000	5218
chr4	116000000	117000000	4912
chr4	117000000	118000000	4677
chr4	118000000	119000000	4567
chr4	119000000	120000000	4356
chr4	120000000	121000000	4341
chr4	121000000	122000000	6423
chr4	122000000	123000000	5703
chr4	123000000	124000000	4562
chr4	124000000	125000000	4933
chr4	125000000	126000000	4982
chr4	126000000	127000000	4984
chr4	127000000	128000000	4700
chr4	128000000	129000000	4601
chr4	129000000	130000000	4632
chr4	130000000	131000000	4853
chr4	131000000	132000000	5187
chr4	132000000	133000000	4891
chr4	133000000	134000000	4504
chr4	134000000	135000000	4510
chr4	135000000	136000000	6041
chr4	136000000	137000000	4477
chr4	137000000	138000000	4405
chr4	138000000	139000000	4516
chr4	139000000	140000000	4456
chr4	140000000	141000000	4539
chr4	141000000	142000000	4912
chr4	142000000	143000000	5204
chr4	143000000	144000000	5026
chr4	144000000	145000000	4806
chr4	145000000	146000000	4781
chr4	146000000	147000000	4916
chr4	147000000	148000000	5324
chr4	148000000	149000000	4968
chr4	149000000	150000000	5304
chr4	150000000	151000000	4748
chr4	151000000	152000000	5023
chr4	152000000	153000000	4652
chr4	153000000	154000000	4940
chr4	154000000	155000000	4982
chr4	155000000	156000000	4870
chr4	156000000	157000000	5026
chr4	157000000	158000000	4900
chr4	158000000	159000000	4800
chr4	159000000	160000000	4827
chr4	160000000	161000000	4525
chr4	161000000	162000000	4755
chr4	162000000	163000000	5021
chr4	163000000	164000000	4747
chr4	164000000	165000000	4529
chr4	165000000	166000000	4423
chr4	166000000	167000000	4772
chr4	167000000	168000000	4626
chr4	168000000	169000000	5203
chr4	169000000	170000000	4688
chr4	170000000	171000000	4568
chr4	171000000	172000000	4710
chr4	172000000	173000000	5099
chr4	173000000	174000000	5010
chr4	174000000	175000000	4471
chr4	175000000	176000000	4560
chr4	176000000	177000000	5005
chr4	177000000	178000000	4743
chr4	178000000	179000000	4425
chr4	179000000	180000000	4923
chr4	180000000	181000000	4826
chr4	181000000	182000000	4519
chr4	182000000	183000000	4488
chr4	183000000	184000000	4676
chr4	184000000	185000000	4866
chr4	185000000	186000000	4874
chr4	186000000	187000000	5090
chr4	187000000	188000000	5183
chr4	188000000	189000000	5178
chr4	189000000	190000000	5026
chr4	190000000	191000000	4742
chr4	191000000	192000000	4942
chr4	192000000	193000000	5235
chr4	193000000	193574945	7125
chr5	0	1000000	4389
chr5	1000000	2000000	3754
chr5	2000000	3000000	3273
chr5	3000000	4000000	3088
chr5	4000000	5000000	3187
chr5	5000000	6000000	3256
chr5	6000000	7000000	3411
chr5	7000000	8000000	3260
chr5	8000000	9000000	3141
chr5	9000000	10000000	3271
chr5	10000000	11000000	3453
chr5	11000000	12000000	3259
chr5	12000000	13000000	3025
chr5	13000000	14000000	3209
chr5	14000000	15000000	3533
chr5	15000000	16000000	3303
chr5	16000000	17000000	3415
chr5	17000000	18000000	6728
chr5	18000000	19000000	3096
chr5	19000000	20000000	2937
chr5	20000000	21000000	3590
chr5	21000000	22000000	7247
chr5	22000000	23000000	3858
chr5	23000000	24000000	2980
chr5	24000000	25000000	2988
chr5	25000000	26000000	2957
chr5	26000000	27000000	2993
chr5	27000000	28000000	2935
chr5	28000000	29000000	2939
chr5	29000000	30000000	3011
chr5	30000000	31000000	3055
chr5	31000000	32000000	3429
chr5	32000000	33000000	3460
chr5	33000000	34000000	3305
chr5	34000000	35000000	5974
chr5	35000000	36000000	3355
chr5	36000000	37000000	3301
chr5	37000000	38000000	3416
chr5	38000000	39000000	3330
chr5	39000000	40000000	3309
chr5	40000000	41000000	3368
chr5	41000000	42000000	3347
chr5	42000000	43000000	3239
